Road ID,Road category id,Road category,Region id,Region name,Total link length km,Total link length miles,All motor vehicles
77,4,PA,7,East of England,2724.138,1692.7,7.672792218E9
78,5,M,7,East of England,34675.8,21546.54,1.1278271423E10
79,1,TM,8,Yorkshire and the Humber,336.866,209.32,3.964069273E9
80,2,PM,8,Yorkshire and the Humber,5.612,3.49,8.017817943E7
81,3,TA,8,Yorkshire and the Humber,701.289,435.76,3.051630773E9
82,4,PA,8,Yorkshire and the Humber,2563.355,1592.79,6.5179493E9
83,5,M,8,Yorkshire and the Humber,27552.3,17120.21,7.962436534E9
84,1,TM,9,South East,599.993,372.82,1.0029918946E10
85,2,PM,9,South East,16.997,10.56,2.245976727E8
86,3,TA,9,South East,853.105,530.09,5.662577333E9
87,4,PA,9,South East,4277.026,2657.62,1.3124687875E10
88,5,M,9,South East,40935.6,25436.2,1.5843180204E10
89,1,TM,10,West Midlands,355.396,220.83,5.473506137E9
90,2,PM,10,West Midlands,6.895,4.28,1.493313213E8
91,3,TA,10,West Midlands,837.019,520.1,3.332546861E9
92,4,PA,10,West Midlands,2663.245,1654.86,6.715565678E9
93,5,M,10,West Midlands,28012.5,17406.16,1.0058396554E10
94,1,TM,11,North East,51.768,32.17,4.960981611E8
95,2,PM,11,North East,3.848,2.39,5.549535836E7
96,3,TA,11,North East,435.997,270.92,2.008478565E9
97,4,PA,11,North East,1304.129,810.35,3.171164156E9
98,5,M,11,North East,14055.7,8733.81,4.716948693E9
99,1,TM,1,South West,306.893,190.69,3.778917881E9
100,3,TA,1,South West,991.738,616.24,3.688075835E9
101,4,PA,1,South West,3902.336,2424.8,8.265255229E9
102,5,M,1,South West,43736.9,27176.85,9.298223144E9
103,1,TM,2,East Midlands,181.901,113.03,2.982219303E9
104,3,TA,2,East Midlands,1215.683,755.39,5.177114242E9
105,4,PA,2,East Midlands,2588.476,1608.4,5.818610912E9
106,5,M,2,East Midlands,26815.3,16662.25,7.221002733E9
107,1,TM,3,Scotland,341.441,212.16,2.682979861E9
108,3,TA,3,Scotland,2815.283,1749.34,5.322710988E9
109,4,PA,3,Scotland,7460.656,4635.84,6.868526007E9
110,5,M,3,Scotland,48136.3,29910.51,7.803135399E9
111,1,TM,4,Wales,132.693,82.45,1.406544289E9
112,3,TA,4,Wales,1507.036,936.43,3.301651825E9
113,4,PA,4,Wales,2599.14,1615.03,4.227974959E9
114,5,M,4,Wales,28420.3,17659.56,5.392455004E9
115,1,TM,5,North West,563.638,350.23,7.662172073E9
116,2,PM,5,North West,38.642,24.01,3.151080807E8
117,3,TA,5,North West,823.045,511.42,2.808206682E9
118,4,PA,5,North West,3144.137,1953.68,8.894468308E9
119,5,M,5,North West,31549.7,19604.07,1.0386621541E10
120,1,TM,6,London,66.957,41.61,1.376969365E9
121,3,TA,6,London,332.211,206.43,3.881047016E9
122,4,PA,6,London,1374.706,854.2,7.146821873E9
123,5,M,6,London,12644.0,7856.62,6.957620896E9
124,1,TM,7,East of England,248.014,154.11,4.320804105E9
125,3,TA,7,East of England,1131.908,703.34,6.0429866E9
126,4,PA,7,East of England,2736.814,1700.58,7.885298315E9
127,5,M,7,East of England,34740.1,21586.5,1.1311937114E10
128,1,TM,8,Yorkshire and the Humber,339.762,211.12,4.134782078E9
129,2,PM,8,Yorkshire and the Humber,5.612,3.49,8.268269183E7
130,3,TA,8,Yorkshire and the Humber,700.836,435.48,3.133691757E9
131,4,PA,8,Yorkshire and the Humber,2573.884,1599.34,6.701075397E9
132,5,M,8,Yorkshire and the Humber,27611.1,17156.74,7.989272669E9
133,1,TM,9,South East,605.147,376.02,1.0492805848E10
134,2,PM,9,South East,16.997,10.56,2.327414947E8
135,3,TA,9,South East,852.931,529.99,5.790407698E9
136,4,PA,9,South East,4296.099,2669.47,1.3455425716E10
137,5,M,9,South East,41020.7,25489.08,1.5888834321E10
138,1,TM,10,West Midlands,358.449,222.73,5.721315484E9
139,2,PM,10,West Midlands,6.895,4.28,1.539476551E8
140,3,TA,10,West Midlands,836.417,519.73,3.405127134E9
141,4,PA,10,West Midlands,2674.411,1661.8,6.892231578E9
142,5,M,10,West Midlands,28069.2,17441.39,1.0092401983E10
143,1,TM,11,North East,52.212,32.44,5.169800602E8
144,2,PM,11,North East,3.848,2.39,5.715457354E7
145,3,TA,11,North East,435.808,270.8,2.054327965E9
146,4,PA,11,North East,1309.772,813.85,3.2585593E9
147,5,M,11,North East,14084.6,8751.76,4.737551135E9
148,1,TM,1,South West,312.241,194.02,4.004094212E9
149,3,TA,1,South West,999.129,620.83,3.819593409E9
150,4,PA,1,South West,3879.448,2410.58,8.414392699E9
151,5,M,1,South West,43815.5,27225.69,9.438334387E9
152,1,TM,2,East Midlands,185.07,115.0,3.2508085E9
