Record ID,Count point id,Direction of travel,Year,Count date,hour,Region id,Region name,Local authority name,Road name,Road Category ID,Start junction road name,End junction road name,Latitude,Longitude,Link length km,Pedal cycles,Two wheeled motor vehicles,Cars and taxis,Buses and coaches,LGV Type,HGV Type,EV Car,EV Bike
18547,46818,S,2014,9/11/2014 0:00,17,6,London,Croydon,A222,4,A232,A222 Lower Addiscombe Rd,51.37750343,-0.091631091,1.1,11,4,323,22,55,2,0,0
18548,46818,S,2014,9/11/2014 0:00,18,6,London,Croydon,A222,4,A232,A222 Lower Addiscombe Rd,51.37750343,-0.091631091,1.1,7,8,303,42,36,0,0,0
18549,46818,S,2014,9/11/2014 0:00,7,6,London,Croydon,A222,4,A232,A222 Lower Addiscombe Rd,51.37750343,-0.091631091,1.1,6,3,341,17,57,5,1,0
18550,46818,S,2014,9/11/2014 0:00,8,6,London,Croydon,A222,4,A232,A222 Lower Addiscombe Rd,51.37750343,-0.091631091,1.1,23,3,273,12,29,7,6,1
18551,46818,S,2014,9/11/2014 0:00,9,6,London,Croydon,A222,4,A232,A222 Lower Addiscombe Rd,51.37750343,-0.091631091,1.1,9,2,274,27,59,8,2,4
18552,46818,S,2014,9/11/2014 0:00,10,6,London,Croydon,A222,4,A232,A222 Lower Addiscombe Rd,51.37750343,-0.091631091,1.1,4,1,214,21,45,2,0,4
18553,46818,S,2014,9/11/2014 0:00,11,6,London,Croydon,A222,4,A232,A222 Lower Addiscombe Rd,51.37750343,-0.091631091,1.1,2,2,222,18,44,3,3,0
18554,46818,S,2014,9/11/2014 0:00,12,6,London,Croydon,A222,4,A232,A222 Lower Addiscombe Rd,51.37750343,-0.091631091,1.1,5,3,213,20,48,5,3,1
18555,46818,N,2014,9/11/2014 0:00,13,6,London,Croydon,A222,4,A232,A222 Lower Addiscombe Rd,51.37750343,-0.091631091,1.1,3,1,176,21,19,5,1,4
18556,46818,N,2014,9/11/2014 0:00,14,6,London,Croydon,A222,4,A232,A222 Lower Addiscombe Rd,51.37750343,-0.091631091,1.1,6,4,221,22,21,8,1,2
18557,46818,N,2014,9/11/2014 0:00,15,6,London,Croydon,A222,4,A232,A222 Lower Addiscombe Rd,51.37750343,-0.091631091,1.1,3,5,279,20,40,4,0,4
18558,46818,N,2014,9/11/2014 0:00,16,6,London,Croydon,A222,4,A232,A222 Lower Addiscombe Rd,51.37750343,-0.091631091,1.1,10,4,278,22,48,3,0,0
18559,46818,N,2014,9/11/2014 0:00,17,6,London,Croydon,A222,4,A232,A222 Lower Addiscombe Rd,51.37750343,-0.091631091,1.1,17,17,340,18,39,6,0,0
18560,46818,N,2014,9/11/2014 0:00,18,6,London,Croydon,A222,4,A232,A222 Lower Addiscombe Rd,51.37750343,-0.091631091,1.1,18,4,301,19,30,0,0,0
